idx,hit_term,whitespace_before,whitespace_after,boundary_cut_near,timestamps_in_window,pct_time_decreasing,near_total,near_proactive_event_tracker,near_triald,near_TRILogEvent,near_ABTest,near_variant,near_bucket
0,削除,No,No,Yes,16,0.375,16,0,16,0,0,0,0
1,確認,No,No,No,16,0.375,19,0,19,0,0,0,0
2,監視,No,No,No,16,0.375,19,0,19,0,0,0,0
3,確認,No,No,No,16,0.375,19,0,19,0,0,0,0
4,監視,No,No,No,16,0.375,24,0,24,0,0,0,0
5,確認,No,No,No,26,0.269,27,0,24,0,0,3,0
6,監視,No,No,No,26,0.269,27,0,24,0,0,3,0
7,確認,No,No,No,26,0.269,27,0,24,0,0,3,0
8,監視,No,No,No,26,0.269,27,0,24,0,0,3,0
9,削除,No,No,No,26,0.269,27,0,24,0,0,3,0
10,監視,No,No,No,26,0.269,27,0,24,0,0,3,0
11,監視,No,No,No,26,0.269,27,0,24,0,0,3,0
12,確認,No,No,No,30,0.233,109,4,64,38,0,3,0
13,確認,No,No,No,30,0.233,109,4,64,38,0,3,0
14,確認,No,No,No,30,0.233,110,4,64,39,0,3,0
15,監視,No,No,No,30,0.233,110,4,64,39,0,3,0
16,監視,No,No,No,30,0.233,112,4,65,40,0,3,0
17,確認,No,No,No,30,0.233,112,4,65,40,0,3,0
18,確認,No,No,No,30,0.233,113,4,65,41,0,3,0
19,監視,No,No,No,30,0.233,113,4,65,41,0,3,0
20,監視,No,No,No,30,0.233,113,4,65,41,0,3,0
21,監視,No,No,No,30,0.233,113,4,65,41,0,3,0
22,確認,No,No,No,30,0.233,113,4,65,41,0,3,0
23,設定,No,No,No,30,0.233,125,4,68,50,0,3,0
24,許可,No,No,No,30,0.233,125,4,68,50,0,3,0
25,監視,No,No,No,30,0.233,128,4,70,51,0,3,0
26,監視,No,No,No,30,0.233,140,4,69,64,0,3,0
27,共有,No,No,No,30,0.233,143,4,69,67,0,3,0
28,設定,No,No,No,30,0.233,143,4,69,67,0,3,0
29,確認,No,No,No,30,0.233,143,4,68,68,0,3,0
30,確認,No,No,No,30,0.233,143,4,68,68,0,3,0
31,確認,No,No,No,30,0.233,142,4,67,68,0,3,0
32,確認,No,No,No,30,0.233,142,4,67,68,0,3,0
33,確認,No,No,No,30,0.233,140,4,65,68,0,3,0
34,確認,No,No,No,30,0.233,140,4,65,68,0,3,0
35,確認,No,No,No,27,0.185,138,4,63,68,0,3,0
36,確認,No,No,No,27,0.185,138,4,63,68,0,3,0
37,確認,No,No,No,27,0.185,138,4,63,68,0,3,0
38,確認,No,No,No,27,0.185,138,4,63,68,0,3,0
39,確認,No,No,No,27,0.185,138,4,63,68,0,3,0
40,監視,No,No,No,27,0.185,138,4,63,68,0,3,0
41,監視,No,No,No,27,0.185,138,4,63,68,0,3,0
42,確認,No,No,No,28,0.179,138,4,63,68,0,3,0
43,確認,No,No,No,28,0.179,138,4,63,68,0,3,0
44,確認,No,No,No,30,0.167,138,4,63,68,0,3,0
45,確認,No,No,No,31,0.161,138,4,63,68,0,3,0
46,設定,No,No,No,32,0.156,138,4,63,68,0,3,0
47,設定,No,No,No,32,0.156,138,4,63,68,0,3,0
48,設定,No,No,No,32,0.156,138,4,63,68,0,3,0
49,監視,No,No,No,32,0.156,138,4,63,68,0,3,0
50,設定,No,No,No,32,0.156,138,4,63,68,0,3,0
51,確認,No,No,No,32,0.156,138,4,63,68,0,3,0
52,確認,No,No,No,34,0.206,142,4,63,68,0,3,4
53,確認,No,No,No,34,0.206,176,4,70,68,0,3,31
54,確認,No,No,No,34,0.235,179,4,71,68,0,3,33
55,設定,No,No,No,31,0.161,213,4,74,68,0,3,64
56,削除,No,No,No,31,0.161,213,4,74,68,0,3,64
57,監視,No,No,No,31,0.161,213,4,74,68,0,3,64
58,確認,No,No,No,31,0.161,213,4,74,68,0,3,64
59,確認,No,No,No,31,0.161,213,4,74,68,0,3,64
60,許可,No,No,No,31,0.161,213,4,74,68,0,3,64
61,確認,No,No,No,31,0.161,213,4,74,68,0,3,64
62,確認,No,No,No,29,0.172,213,4,74,68,0,3,64
63,復元,No,No,No,27,0.148,213,4,74,68,0,3,64
64,復元,No,No,No,29,0.172,212,4,73,68,0,3,64
65,復元,No,No,No,31,0.161,207,4,68,68,0,3,64
