cluster_id,file,hits_in_cluster,repr_term,repr_start,repr_end,whitespace_before,whitespace_after,boundary_cut_near,timestamps_in_window,pct_time_decreasing,near_proactive_event_tracker,near_triald,near_TRILogEvent,near_ABTest,near_variant,near_bucket
0,part3.zip:part3.txt,4,監視,1984,1986,No,No,No,5,0.4,0,7,0,0,0,0
1,part3.zip:part3.txt,1,監視,14477,14479,No,No,No,5,0.4,0,7,0,0,0,0
2,part3.zip:part3.txt,7,監視,71582,71584,No,No,No,11,0.273,0,12,0,0,0,0
3,part3.zip:part3.txt,43,確認,112802,112804,No,No,No,13,0.077,0,11,0,0,3,0
4,part3.zip:part3.txt,30,確認,207619,207621,No,No,No,9,0.111,4,46,68,0,0,0
5,part3.zip:part3.txt,6,確認,242577,242579,No,No,No,11,0.273,0,16,0,0,0,64
6,part3.zip:part3.txt,1,確認,257484,257486,No,No,No,11,0.273,0,17,0,0,0,64
7,part3.zip:part3.txt,12,監視,273012,273014,No,No,No,12,0.25,0,17,0,0,0,64
8,part3.zip:part3.txt,1,認証,317672,317674,No,No,No,13,0.0,14,15,0,0,2,0
9,part3.zip:part3.txt,10,確認,336325,336327,No,No,No,6,0.0,15,18,0,0,3,0
10,part3.zip:part3.txt,15,確認,363117,363119,No,No,No,8,0.0,6,13,0,0,6,0
11,part3.zip:part3.txt,30,確認,414229,414231,No,No,No,13,0.154,0,0,0,0,3,0
12,part3.zip:part3.txt,7,監視,446788,446790,No,No,No,7,0.143,0,0,0,0,0,0
13,part3.zip:part3.txt,11,確認,469126,469128,No,No,No,2,0.0,0,0,0,0,0,0
14,part3.zip:part3.txt,9,確認,489337,489339,No,No,No,1,0.0,0,0,0,0,0,0
15,part3.zip:part3.txt,7,遮断,510572,510574,No,No,No,9,0.556,0,0,0,0,0,0
16,part3.zip:part3.txt,4,監視,534089,534091,No,No,No,20,0.45,0,0,0,0,0,0
17,part3.zip:part3.txt,3,監視,549481,549483,No,No,No,24,0.417,0,0,0,0,0,0
18,part3.zip:part3.txt,2,確認,568962,568964,No,No,No,22,0.273,0,0,0,0,0,0
19,part3.zip:part3.txt,9,確認,590049,590051,No,No,No,18,0.167,0,0,0,0,0,0
20,part3.zip:part3.txt,30,削除,632644,632646,No,No,No,8,0.0,0,0,0,0,0,0
21,part3.zip:part3.txt,1,確認,664008,664010,No,No,No,4,0.0,0,0,0,0,0,0
22,part3.zip:part3.txt,4,監視,734292,734294,No,No,No,1,0.0,0,0,0,0,0,0
23,part3.zip:part3.txt,215,確認,864001,864003,No,No,No,3,0.333,0,0,0,0,0,0
24,part3.zip:part3.txt,75,確認,961081,961083,No,No,No,0,0.0,0,0,0,0,0,0
25,part3.zip:part3.txt,10,確認,995878,995880,No,No,No,0,0.0,0,0,0,0,0,0
26,part3.zip:part3.txt,122,追跡,1051807,1051809,No,No,No,0,0.0,0,0,0,0,0,0
27,part3.zip:part3.txt,2,確認,1129992,1129994,No,No,No,0,0.0,0,0,0,0,0,0
28,part3.zip:part3.txt,2,確認,1173985,1173987,No,No,No,0,0.0,0,0,0,0,0,0
29,part3.zip:part3.txt,12,監視,1196294,1196296,No,No,No,0,0.0,0,0,0,0,0,0
30,part3.zip:part3.txt,1,確認,1256989,1256991,No,No,No,0,0.0,0,0,0,0,0,0
31,part3.zip:part3.txt,1,設定,1290533,1290535,No,No,No,0,0.0,0,0,0,0,0,0
32,part3.zip:part3.txt,2,設定,1312878,1312880,No,No,No,0,0.0,0,0,0,0,0,0
33,part3.zip:part3.txt,1,許可,1330606,1330608,No,No,No,0,0.0,0,0,0,0,0,0
34,part3.zip:part3.txt,1,確認,1348766,1348768,No,No,No,0,0.0,0,0,0,0,0,0
35,part3.zip:part3.txt,3,確認,1379462,1379464,No,No,No,0,0.0,0,0,0,0,0,0
36,part3.zip:part3.txt,151,共有,1447986,1447988,No,No,No,0,0.0,0,0,0,0,0,0
37,part3.zip:part3.txt,4,設定,1528515,1528517,No,No,No,0,0.0,0,0,0,0,0,0
38,part3.zip:part3.txt,272,確認,1692604,1692606,No,No,No,0,0.0,0,4,0,0,0,0
39,part3.zip:part3.txt,142,設定,1850860,1850862,No,No,No,0,0.0,0,0,0,0,0,0
40,part3.zip:part3.txt,3,確認,1928121,1928123,No,No,No,0,0.0,0,0,0,0,0,0
41,part3.zip:part3.txt,9,確認,1959485,1959487,No,No,No,0,0.0,0,0,0,0,0,0
42,part3.zip:part3.txt,6,設定,1979589,1979591,No,No,No,0,0.0,0,0,0,0,0,0
43,part3.zip:part3.txt,48,設定,2009602,2009604,No,No,No,2,0.0,0,0,0,0,0,0
44,part3.zip:part3.txt,29,削除,2056289,2056291,No,No,No,6,0.5,0,0,0,0,1,0
45,part3.zip:part3.txt,2,確認,2108804,2108806,No,No,No,10,0.5,0,0,0,0,1,0
46,part3.zip:part3.txt,215,監視,2238166,2238168,No,No,No,0,0.0,0,0,0,0,0,0
47,part3.zip:part3.txt,6,追跡,2452946,2452948,No,No,No,1,0.0,0,0,0,0,0,0
48,part3.zip:part3.txt,6,追跡,2568958,2568960,No,No,No,2,0.0,0,0,0,0,0,0
49,part3.zip:part3.txt,5,確認,2587356,2587358,No,No,No,3,0.0,0,0,0,0,0,3
50,part3.zip:part3.txt,6,設定,2604215,2604217,No,No,No,3,0.0,0,0,0,0,0,23
51,part3.zip:part3.txt,1,確認,2694391,2694393,No,No,No,2,0.5,0,0,0,0,0,44
52,part3.zip:part3.txt,11,監視,2713082,2713084,No,No,No,2,0.5,0,0,0,0,0,22
53,part3.zip:part3.txt,5,監視,2799309,2799311,No,No,No,2,0.5,0,0,0,0,0,57
54,part3.zip:part3.txt,1,確認,2888896,2888898,No,No,No,0,0.0,0,0,0,0,0,0
55,part3.zip:part3.txt,88,遮断,2923642,2923644,No,No,No,0,0.0,0,0,0,0,0,0
56,part3.zip:part3.txt,24,監視,2966758,2966760,No,No,No,6,0.333,0,0,0,0,0,0
57,part3.zip:part3.txt,11,監視,3042412,3042414,No,No,No,7,0.286,0,8,0,0,0,0
58,part3.zip:part3.txt,70,確認,3155089,3155091,No,No,No,3,0.333,0,0,0,0,0,0
59,part3.zip:part3.txt,164,共有,3287421,3287423,No,No,No,0,0.0,0,0,0,0,0,0
60,part3.zip:part3.txt,3,監視,3394510,3394512,No,No,No,12,0.5,0,0,0,0,1,0
61,part3.zip:part3.txt,9,監視,3411023,3411025,No,No,No,10,0.5,0,0,0,0,1,0
62,part3.zip:part3.txt,17,設定,3431290,3431292,No,No,No,3,0.667,0,0,0,0,0,0
63,part3.zip:part3.txt,18,確認,3459058,3459060,No,No,No,0,0.0,0,0,0,0,0,0
64,part3.zip:part3.txt,23,確認,3506130,3506132,No,No,No,0,0.0,0,0,0,0,0,0
65,part3.zip:part3.txt,12,共有,3533715,3533717,No,No,No,0,0.0,0,0,0,0,12,0
66,part3.zip:part3.txt,14,共有,3554311,3554313,No,No,No,0,0.0,0,0,0,0,12,0
67,part3.zip:part3.txt,29,設定,3576814,3576816,No,No,No,0,0.0,0,0,0,0,0,0
68,part3.zip:part3.txt,178,設定,3659675,3659677,No,No,No,0,0.0,0,0,0,0,0,0
69,part3.zip:part3.txt,8,監視,3713217,3713219,No,No,No,6,0.667,0,0,0,0,1,0
70,part3.zip:part3.txt,32,削除,3761356,3761358,No,No,No,0,0.0,0,0,0,0,0,0
71,part3.zip:part3.txt,2,共有,3779998,3780000,No,No,No,0,0.0,0,0,0,0,0,0
72,part3.zip:part3.txt,31,認証,3827426,3827428,No,No,No,2,0.0,0,0,0,0,0,0
73,part3.zip:part3.txt,9,確認,3858117,3858119,No,No,No,2,0.0,0,0,0,0,0,0
74,part3.zip:part3.txt,2,確認,3880966,3880968,No,No,No,0,0.0,0,0,0,0,0,0
75,part3.zip:part3.txt,115,設定,3940873,3940875,No,No,No,0,0.0,0,0,0,0,0,0
76,part3.zip:part3.txt,54,設定,4019998,4020000,No,No,No,2,0.0,0,0,0,0,0,0
77,part3.zip:part3.txt,17,認証,4048170,4048172,No,No,No,0,0.0,0,0,0,0,0,0
78,part3.zip:part3.txt,2,認証,4078138,4078140,No,No,No,0,0.0,0,0,0,0,0,0
79,part3.zip:part3.txt,2,確認,4088505,4088507,No,No,No,0,0.0,0,0,0,0,0,0
80,part3.zip:part3.txt,68,設定,4111723,4111725,No,No,No,0,0.0,0,0,0,0,0,0
81,part3.zip:part3.txt,4,設定,4162343,4162345,No,No,No,0,0.0,0,0,0,0,0,0
82,part3.zip:part3.txt,397,確認,4311985,4311987,No,No,No,0,0.0,0,0,0,0,0,0
83,part3.zip:part3.txt,307,設定,4556701,4556703,No,No,No,0,0.0,0,0,0,0,0,0
84,part3.zip:part3.txt,5,設定,4700299,4700301,No,No,No,0,0.0,0,0,0,0,0,0
85,part3.zip:part3.txt,2,共有,4711981,4711983,No,No,No,0,0.0,0,0,0,0,0,0
86,part3.zip:part3.txt,1,確認,4743077,4743079,No,No,No,0,0.0,0,0,0,0,0,0
87,part3.zip:part3.txt,4,監視,4755865,4755867,No,No,No,0,0.0,0,0,0,0,0,0
88,part3.zip:part3.txt,6,確認,4787504,4787506,No,No,No,0,0.0,0,0,0,0,0,0
89,part3.zip:part3.txt,4,確認,4823957,4823959,No,No,No,0,0.0,0,0,0,0,0,0
90,part3.zip:part3.txt,4,追跡,4848160,4848162,No,No,No,0,0.0,0,0,0,0,0,0
91,part3.zip:part3.txt,2,認証,4864486,4864488,No,No,No,0,0.0,0,0,0,0,0,0
92,part3.zip:part3.txt,9,設定,4876622,4876624,No,No,No,0,0.0,0,0,0,0,0,0
93,part3.zip:part3.txt,7,設定,4894918,4894920,No,No,No,0,0.0,0,0,0,0,0,0
94,part3.zip:part3.txt,4,認証,4912806,4912808,No,No,No,0,0.0,0,0,0,0,0,0
95,part3.zip:part3.txt,2,設定,4926929,4926931,No,No,No,0,0.0,0,0,0,0,0,0
96,part3.zip:part3.txt,1,設定,4952777,4952779,No,No,No,0,0.0,0,0,0,0,0,0
97,part3.zip:part3.txt,1,確認,4979545,4979547,No,No,No,0,0.0,0,0,0,0,0,0
98,part3.zip:part3.txt,9,設定,5030327,5030329,No,No,No,0,0.0,0,0,0,0,0,0
99,part3.zip:part3.txt,8,監視,5075167,5075169,No,No,No,0,0.0,0,0,0,0,0,0
100,part3.zip:part3.txt,3,設定,5094901,5094903,No,No,No,5,0.0,0,0,0,0,0,0
101,part3.zip:part3.txt,2,設定,5122142,5122144,No,No,No,33,0.0,0,0,0,0,0,0
102,part3.zip:part3.txt,1,設定,5136392,5136394,No,No,No,42,0.0,0,0,0,0,0,0
103,part3.zip:part3.txt,316,削除,5231702,5231704,No,No,No,0,0.0,0,0,0,0,0,0
104,part3.zip:part3.txt,238,設定,5332908,5332910,No,No,No,1,0.0,0,0,0,0,0,0
105,part3.zip:part3.txt,3,確認,5436629,5436631,No,No,No,15,0.2,0,0,0,0,0,0
106,part3.zip:part3.txt,2,確認,5459244,5459246,No,No,No,23,0.304,0,0,0,0,0,0
107,part3.zip:part3.txt,8,設定,5567148,5567150,No,No,No,24,0.417,0,0,0,0,0,0
108,part3.zip:part3.txt,246,確認,5611728,5611730,No,No,No,0,0.0,0,0,0,0,0,0
109,part3.zip:part3.txt,76,設定,5703473,5703475,No,No,No,6,0.5,0,0,0,0,0,0
110,part3.zip:part3.txt,8,設定,5747188,5747190,No,No,No,11,0.182,0,0,0,0,0,0
111,part3.zip:part3.txt,1,復元,5808039,5808041,No,No,No,13,0.385,0,0,0,0,2,0
112,part3.zip:part3.txt,8,削除,5822191,5822193,No,No,No,11,0.364,0,0,0,0,2,0
113,part3.zip:part3.txt,30,設定,5854016,5854018,No,No,No,10,0.4,0,0,0,0,0,0
114,part3.zip:part3.txt,4,復元,5930018,5930020,No,No,No,9,0.333,0,0,0,0,0,0
115,part3.zip:part3.txt,7,復元,5977005,5977007,No,No,No,11,0.091,0,0,0,0,0,0
116,part3.zip:part3.txt,6,復元,6077637,6077639,No,No,No,12,0.167,0,0,0,0,1,0
117,part3.zip:part3.txt,6,確認,6112051,6112053,No,No,No,17,0.176,0,0,0,0,3,0
118,part3.zip:part3.txt,8,設定,6134980,6134982,No,No,No,8,0.25,0,0,0,0,3,0
119,part3.zip:part3.txt,168,確認,6203621,6203623,No,No,No,0,0.0,0,0,0,0,0,0
